frame_id,label,confidence,x,y,w,h
183,an ocelot,0.241,0,0,1280,661
184,an ocelot,0.245,0,0,1280,718
184,an ocelot,0.242,0,0,1280,661
185,an ocelot,0.244,0,0,1280,719
185,an ocelot,0.242,0,0,1280,705
186,an ocelot,0.238,0,0,1280,718
186,an ocelot,0.239,0,0,1280,661
187,an ocelot,0.239,0,0,1280,718
187,an ocelot,0.238,0,0,1280,664
187,an ocelot,0.228,12,166,1263,551
188,an ocelot,0.221,0,0,1280,718
188,an ocelot,0.227,0,0,1280,704
188,a monkey,0.226,9,166,1257,552
189,an ocelot,0.216,0,0,1280,718
189,an ocelot,0.224,0,0,1280,706
189,an ocelot,0.231,11,146,1222,571
190,an ocelot,0.213,0,0,1280,718
190,an ocelot,0.215,0,0,1280,708
191,an ocelot,0.22,0,0,1280,718
191,an ocelot,0.218,0,0,1280,712
191,an ocelot,0.249,22,247,1146,469
192,an ocelot,0.213,0,0,1280,718
192,an ocelot,0.221,0,0,1280,708
192,an ocelot,0.236,10,247,1158,468
193,an ocelot,0.216,0,0,1280,718
193,an ocelot,0.225,0,0,1280,707
194,an ocelot,0.216,0,0,1280,718
194,an ocelot,0.231,0,0,1280,706
195,an ocelot,0.214,0,0,1280,718
195,an ocelot,0.228,0,0,1280,707
196,an ocelot,0.217,0,0,1280,717
196,an ocelot,0.229,0,0,1280,708
196,an ocelot,0.231,9,243,1266,474
197,an ocelot,0.217,0,0,1280,717
197,an ocelot,0.236,0,0,1280,667
197,a monkey,0.234,13,142,1221,575
198,an ocelot,0.218,0,0,1280,717
198,an ocelot,0.222,0,0,1280,703
198,an ocelot,0.229,12,142,1222,575
199,an ocelot,0.219,0,0,1280,718
199,an ocelot,0.223,0,0,1280,704
199,an ocelot,0.243,11,246,1214,471
200,an ocelot,0.217,0,0,1280,718
200,an ocelot,0.223,0,0,1280,703
200,an ocelot,0.235,31,233,1202,484
201,an ocelot,0.218,0,0,1280,718
201,an ocelot,0.22,0,0,1280,706
201,an ocelot,0.246,11,247,1224,471
202,an ocelot,0.216,0,0,1280,718
202,an ocelot,0.219,0,0,1280,708
202,an ocelot,0.24,0,242,1280,476
203,an ocelot,0.22,0,0,1280,717
203,an ocelot,0.226,0,0,1280,704
203,an ocelot,0.225,3,13,1272,705
204,an ocelot,0.222,0,0,1280,717
204,an ocelot,0.224,0,0,1280,704
204,an ocelot,0.228,4,142,1271,576
205,an ocelot,0.225,0,0,1280,717
205,an ocelot,0.225,0,0,1280,706
205,an ocelot,0.233,0,143,1276,575
206,an ocelot,0.223,0,0,1280,718
206,an ocelot,0.22,0,0,1280,704
206,an ocelot,0.229,12,142,1222,576
207,an ocelot,0.215,0,0,1280,718
207,a tamandua,0.233,0,0,1280,668
207,an ocelot,0.228,0,141,1275,576
208,an ocelot,0.212,0,0,1280,717
208,an ocelot,0.22,0,0,1280,707
208,a tamandua,0.218,0,142,1274,576
209,an ocelot,0.215,0,0,1280,718
209,an ocelot,0.221,0,0,1280,710
209,an ocelot,0.219,0,142,1274,576
210,an ocelot,0.223,0,0,1280,717
210,an ocelot,0.227,0,0,1280,668
210,a tamandua,0.253,0,142,1276,576
211,an ocelot,0.216,0,0,1280,718
211,an ocelot,0.217,0,0,1280,704
211,a monkey,0.227,0,142,1276,576
212,an ocelot,0.222,0,0,1280,717
